Crash Number,Crash Date,Crash Time,City/Town,Crash Severity,Roadway,Near Intersection Roadway,Landmark,Police Agency
3605780,8/10/2013,12:08 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3605955,8/7/2013,8:30 AM,WORCESTER,Non-fatal injury,MASSASOIT ROAD / SOUTHWEST CUTOFF,,,Local police
3606309,8/20/2013,9:00 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 E,MASSASOIT ROAD,265 SOUTHWEST CUTOFF,Local police
3606457,8/5/2013,2:00 PM,WORCESTER,Non-fatal injury,GREENWOOD STREET / SPOFFORD ROAD,,,Local police
3613493,10/1/2013,5:30 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 W,MARCIUS ROAD,ACROSS FROM ROY'S MARINA,State police
3655333,11/6/2013,11:51 AM,WORCESTER,Property damage only (none injured),Rte 146 N,UNKNOWN,,State police
3656781,9/4/2013,10:17 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET / SOUTHWEST CUTOFF,,,Local police
3656791,9/3/2013,9:48 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3657333,9/16/2013,3:01 PM,WORCESTER,Non-fatal injury,GRANITE STREET / SOUTHWEST CUTOFF,,,Local police
3657701,9/12/2013,2:22 PM,WORCESTER,Non-fatal injury,GREENWOOD STREET,,,Local police
3657723,9/10/2013,5:07 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3658663,9/27/2013,11:48 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,GREENWOOD STREET Rte 20,MC DONALDS,Local police
3661372,9/27/2013,7:15 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 / GREENWOOD STREET,,,Local police
3668933,10/11/2013,3:14 PM,WORCESTER,Non-fatal injury,GRANITE STREET / Rte 20,,,Local police
3681091,10/24/2013,9:45 AM,WORCESTER,Property damage only (none injured),SPOFFORD ROAD / GREENWOOD STREET,,,Local police
3726355,10/28/2013,8:25 AM,WORCESTER,Property damage only (none injured),GREENWOOD STREET,,,Local police
3731352,11/27/2013,1:33 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 W / GRANITE STREET,,,Local police
3732144,10/30/2013,6:46 AM,WORCESTER,Property damage only (none injured),GREENWOOD STREET / SPOFFORD ROAD,,,Local police
3735195,10/21/2013,8:09 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / GRANITE STREET,,,Local police
3739244,9/27/2013,7:15 PM,WORCESTER,Property damage only (none injured),Rte 20 / SOUTHWEST CUTOFF / GREENWOOD STREET,,,Local police
